0
tensor(388.9171, dtype=torch.float64)
tensor(388.4745, dtype=torch.float64)
tensor(389.0187, dtype=torch.float64)
tensor(387.6434, dtype=torch.float64)
tensor(387.4383, dtype=torch.float64)
tensor(388.7529, dtype=torch.float64)
tensor(389.4083, dtype=torch.float64)
tensor(389.2059, dtype=torch.float64)
tensor(387.2523, dtype=torch.float64)
tensor(388.6741, dtype=torch.float64)
tensor(387.1610, dtype=torch.float64)
tensor(387.7012, dtype=torch.float64)
tensor(388.1562, dtype=torch.float64)
tensor(389.9640, dtype=torch.float64)
tensor(388.1291, dtype=torch.float64)
tensor(386.9001, dtype=torch.float64)
tensor(389.2912, dtype=torch.float64)
tensor(391.3069, dtype=torch.float64)
tensor(385.7175, dtype=torch.float64)
tensor(388.0702, dtype=torch.float64)
tensor(389.9653, dtype=torch.float64)
tensor(386.9016, dtype=torch.float64)
tensor(387.1623, dtype=torch.float64)
tensor(386.8161, dtype=torch.float64)
tensor(388.6682, dtype=torch.float64)
tensor(388.4254, dtype=torch.float64)
tensor(388.3766, dtype=torch.float64)
tensor(388.3913, dtype=torch.float64)
tensor(389.2690, dtype=torch.float64)
tensor(387.4491, dtype=torch.float64)
tensor(387.1251, dtype=torch.float64)
tensor(388.8164, dtype=torch.float64)
tensor(388.9158, dtype=torch.float64)
tensor(389.5163, dtype=torch.float64)
tensor(389.0034, dtype=torch.float64)
tensor(385.9575, dtype=torch.float64)
tensor(388.7488, dtype=torch.float64)
tensor(387.2604, dtype=torch.float64)
tensor(389.2751, dtype=torch.float64)
tensor(385.1857, dtype=torch.float64)
